Frequency (Hz),1n2u - Cracked
0.1,0.00362274
0.2,0.0203688
0.3,0.0507175
0.4,0.087482
0.5,0.139462
0.6,0.197155
0.7,0.265346
0.8,0.312609
0.9,0.356015
1,0.459606
1.1,0.484736
1.2,0.544389
1.3,0.628686
1.4,0.689326
1.5,0.735982
1.6,0.803039
1.7,0.863831
1.8,0.898405
1.9,0.975327
2,1.0603
2.1,1.13455
2.2,1.17021
2.3,1.21363
2.4,1.23806
2.5,1.2914
2.6,1.25397
2.7,1.22264
2.8,1.23093
2.9,1.24077
3,1.09231
3.15,1.24219
3.3,1.26562
3.45,1.13053
3.6,1.00885
3.8,0.985582
4,0.904651
4.2,0.757672
4.4,0.708846
4.6,0.649728
4.8,0.670244
5,0.649165
5.25,0.633375
5.5,0.593035
5.75,0.546161
6,0.585397
6.25,0.611438
6.5,0.609322
6.75,0.588735
7,0.543161
7.25,0.536249
7.5,0.586904
7.75,0.624033
8,0.635082
8.5,0.531481
9,0.484607
9.5,0.483281
10,0.486196
10.5,0.46736
11,0.408988
11.5,0.4105
12,0.389584
12.5,0.374821
13,0.372121
13.5,0.368247
14,0.372265
14.5,0.372828
15,0.376053
16,0.401808
17,0.387373
18,0.37507
20,0.360708
22,0.367757
25,0.361813
28,0.363435
31,0.359105
34,0.358813
37,0.359274
40,0.358238
43,0.356671
46,0.356181
49,0.35584
52,0.35556
55,0.355356
58,0.355216
61,0.355097
64,0.354995
67,0.354906
70,0.354828
73,0.35476
76,0.354699
79,0.354644
82,0.354595
85,0.35455
88,0.354509
91,0.354472
94,0.354438
97,0.354406
100,0.354376
